Species,Diet
Abrocoma bennettii,Herbivore
Abrocoma boliviensis,Herbivore
Abrocoma budini,Herbivore
Abrocoma cinerea,Herbivore
Abrocoma famatina,Herbivore
Abrocoma shistacea,Herbivore
Abrocoma uspallata,Herbivore
Abrocoma vaccarum,Herbivore
Cuscomys ashaninka,Herbivore
Cuscomys oblativa,Herbivore
Acrobates pygmaeus,Omnivore
Distoechurus pennatus,Omnivore
Ailurus fulgens,Herbivore
Anomalurus beecrofti,Omnivore
Anomalurus derbianus,Omnivore
Anomalurus pelii,Omnivore
Anomalurus pusillus,Omnivore
Idiurus macrotis,Herbivore
Idiurus zenkeri,Herbivore
Zenkerella insignis,Herbivore
Antilocapra americana,Herbivore
Aotus azarae,Omnivore
Aotus brumbacki,Omnivore
Aotus griseimembra,Omnivore
Aotus jorgehernandezi,Omnivore
Aotus lemurinus,Omnivore
Aotus miconax,Omnivore
Aotus nancymaae,Omnivore
Aotus nigriceps,Omnivore
Aotus trivirgatus,Omnivore
Aotus vociferans,Omnivore
Aotus zonalis,Omnivore
Aplodontia rufa,Herbivore
Alouatta arctoidea,Herbivore
Alouatta belzebul,Herbivore
Alouatta caraya,Herbivore
Alouatta discolor,Herbivore
Alouatta guariba,Herbivore
Alouatta juara,Herbivore
Alouatta macconnelli,Herbivore
Alouatta nigerrima,Herbivore
Alouatta palliata,Herbivore
Alouatta pigra,Herbivore
Alouatta puruensis,Herbivore
Alouatta sara,Herbivore
Alouatta seniculus,Herbivore
Alouatta ululata,Herbivore
Ateles belzebuth,Herbivore
Ateles chamek,Herbivore
Ateles fusciceps,Herbivore
Ateles geoffroyi,Herbivore
Ateles hybridus,Herbivore
Ateles marginatus,Herbivore
Ateles paniscus,Herbivore
Brachyteles arachnoides,Herbivore
Brachyteles hypoxanthus,Herbivore
Lagothrix cana,Herbivore
Lagothrix lagotricha,Herbivore
Lagothrix lugens,Herbivore
Lagothrix poeppigii,Herbivore
Oreonax flavicauda,Herbivore
Bathyergus janetta,Herbivore
Bathyergus suillus,Herbivore
Cryptomys anselli,Herbivore
Cryptomys bocagei,Herbivore
Cryptomys damarensis,Herbivore
Cryptomys darlingi,Herbivore
Cryptomys foxi,Carnivore
Cryptomys hottentotus,Herbivore
Cryptomys kafuensis,Herbivore
Cryptomys mechowi,Herbivore
Cryptomys ochraceocinereus,Herbivore
Cryptomys zechi,Herbivore
Georychus capensis,Herbivore
Heliophobius argenteocinereus,Herbivore
Heterocephalus glaber,Herbivore
Addax nasomaculatus,Herbivore
Aepyceros melampus,Herbivore
Alcelaphus buselaphus,Herbivore
Ammodorcas clarkei,Herbivore
Ammotragus lervia,Herbivore
Antidorcas marsupialis,Herbivore
Antilope cervicapra,Herbivore
Arabitragus jayakari,Herbivore
Beatragus hunteri,Herbivore
Bison bison,Herbivore
Bison bonasus,Herbivore
